iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,2.922615700001188,1778997.845176196,,,2499,3206,500,-5937.257660674146,80825,2499,-5937.257660674146,-5937.257660674146,80825,,,False,False
2,3.952249500001926,1775064.687845733,,,2495,5701,1000,-4791.164088671691,48445,2495,-4791.164088671691,-4791.164088671691,48445,,,False,False
3,5.408570100000361,1764813.7222035124,,,2487,8188,1500,-3573.6830820224377,37001,2487,-3573.6830820224377,-3573.6830820224377,37001,,,False,False
4,7.155857199999446,1745843.0114133402,,,2481,10669,2000,-3425.472827099246,32507,2481,-3425.472827099246,-3425.472827099246,32507,,,False,False
5,9.241063900000881,1724296.7575625798,,,2439,13108,2500,-3245.769837729782,28372,2439,-3245.769837729782,-3245.769837729782,28372,,,False,False
6,11.742207700001018,1708449.585649199,,,2377,15485,3000,-3011.083874584113,22510,2377,-3011.083874584113,-3011.083874584113,22510,,0.039656180426688274,False,False
7,14.928153900000325,1688425.0818033752,,,2359,17844,3500,-2740.107709687538,17687,2359,-2740.107709687538,-2740.107709687538,17687,,0.04880926685973684,False,False
8,18.53351079999993,1681970.0454401986,,,2172,20016,4000,-2332.815167045387,14301,2172,-2332.815167045387,-2332.815167045387,14301,,0.04694188158276376,False,False
9,22.637797999999748,1673943.956779784,,,1834,21850,4500,-2236.395893039186,11820,1834,-2236.395893039186,-2236.395893039186,11820,,0.0411830010851609,False,False
10,27.501636600001802,1667065.181008818,,,1542,23392,5000,-1246.8035305677922,9083,1542,-1246.8035305677922,-1246.8035305677922,9083,,0.03319125684297102,False,False
11,32.54159459999937,1665296.1162599642,,,971,24363,5500,-1000.0000432693464,9121,971,-1000.0000432693464,-1000.0000432693464,9121,,0.02525884857927305,False,False
12,37.784340500002145,1664876.771160489,,,680,25043,6000,-867.3168942861307,7524,680,-600.0000301885214,-867.3168942861307,7524,,0.0139469088067175,False,False
13,43.17436230000021,1664481.3788975757,,,822,25865,6500,-865.9778329625224,11472,822,-495.4363700725321,-865.9778329625224,11472,,0.010397727706289736,False,False
14,48.9972099000006,1664480.9172154511,,,427,26292,7000,-865.265794286131,3839,427,-256.22635656934625,-865.265794286131,3839,,0.0056531400146378,False,False
15,54.882799999999406,1664479.5325024652,,,595,26887,7500,-866.6041329625223,10854,595,-336.2190533892317,-866.6041329625223,10854,,0.0015510182420031204,False,False
16,60.94752530000187,1664479.014148065,,,273,27160,8000,-865.071294286131,2477,273,-100.00001554598794,-865.071294286131,2477,,0.0004906647556077881,False,False
17,66.99322300000131,1664479.014155847,,,85,27245,8500,-860.6292893637547,1675,85,-247.95136079810027,-860.6292893637547,1675,,0.00023891077798188898,False,False
18,72.93101680000109,1664479.0141558473,,,212,27457,9000,-865.071294286131,2030,212,-63.404981798099925,-865.071294286131,2030,,1.4207078303119769e-06,False,False
19,79.1014705000016,1664479.0141558691,,,114,27571,9500,-865.071294286131,1989,114,-168.2944912270841,-865.071294286131,1989,,1.1433351757356404e-06,False,False
20,85.27789209999901,1664479.014155847,1664479.0141558482,1664481.3788975757,99,27670,10000,-866.1322942861311,5992,99,-22.742838867722185,-866.1322942861311,5992,0.00014207078297524497,3.1141663687696947e-07,False,True
