iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,3.125906799999939,1808262.6164408878,,,2466,3167,500,-5979.457325958287,83825,2466,-5979.457325958287,-5979.457325958287,83825,,,False,False
2,4.205430800000613,1803855.8204403797,,,2495,5662,1000,-5372.81996070636,47725,2495,-5372.81996070636,-5372.81996070636,47725,,,False,False
3,5.676776200001768,1795522.0889150982,,,2496,8158,1500,-3832.902979147199,40789,2496,-3832.902979147199,-3832.902979147199,40789,,,False,False
4,7.536233599999832,1775835.6520983628,,,2485,10643,2000,-3446.1600355797677,33802,2485,-3446.1600355797677,-3446.1600355797677,33802,,,False,False
5,9.742952000000514,1764391.7436753556,,,2485,13128,2500,-3414.0660377722916,29134,2485,-3414.0660377722916,-3414.0660377722916,29134,,,False,False
6,12.324292900000728,1750653.132082802,,,2391,15519,3000,-3229.797800952371,25713,2391,-3229.797800952371,-3229.797800952371,25713,,0.031859025251252296,False,False
7,15.239875899998879,1729230.5144718962,,,2239,17758,3500,-3101.2198223963164,17242,2239,-3101.2198223963164,-3101.2198223963164,17242,,0.0413698839579457,False,False
8,18.74717840000085,1720801.3654506719,,,2032,19790,4000,-2884.8072653071426,14157,2032,-2884.8072653071426,-2884.8072653071426,14157,,0.04161503995173604,False,False
9,22.73118600000089,1710584.877615437,,,1808,21598,4500,-2863.9548011344145,11075,1808,-2863.9548011344145,-2863.9548011344145,11075,,0.03674370114476769,False,False
10,27.22691240000131,1697504.472681556,,,1239,22837,5000,-2796.163044536665,6130,1239,-2796.163044536665,-2796.163044536665,6130,,0.03790953524553943,False,False
11,32.28449510000064,1692510.9134509007,,,997,23834,5500,-2145.428314165331,5643,997,-2145.428314165331,-2145.428314165331,5643,,0.033211729706117084,False,False
12,37.710085900002014,1689055.8957894014,,,1033,24867,6000,-1484.2737871154268,10606,1033,-1484.2737871154268,-1484.2737871154268,10606,,0.023232656575438763,False,False
13,43.64780679999967,1688442.6560263003,,,736,25603,6500,-1416.4654840572175,6184,736,-470.55739332447615,-1416.4654840572175,6184,,0.01880444197340404,False,False
14,49.36298109999916,1688437.297075981,,,360,25963,7000,-1421.889284057217,3731,360,-199.99996572148916,-1421.889284057217,3731,,0.012947373047240834,False,False
15,55.22388309999951,1688407.1853326557,,,429,26392,7500,-1416.4654840572175,8863,429,-204.88615974556728,-1416.4654840572175,8863,,0.005359212594314521,False,False
16,61.08797409999897,1688407.1853328063,,,225,26617,8000,-1416.4654840572175,3802,225,-199.99997532447605,-1416.4654840572175,3802,,0.0024246390882804968,False,False
17,67.0088837000003,1688407.1853326557,,,33,26650,8500,-1416.4654840572175,2480,33,-67.84123253877078,-1416.4654840572175,2480,,0.00038406689699426204,False,False
18,72.88713999999891,1688407.1853326557,,,302,26952,9000,-1417.0625840572175,11189,302,-84.90019272148902,-1417.0625840572175,11189,,2.1007935044759577e-05,False,False
19,79.01016530000197,1688407.1853326557,,,70,27022,9500,-1416.4654840572175,3292,70,-34.64096829784194,-1416.4654840572175,3292,,1.7834090361255813e-05,False,False
20,85.0781124999994,1688407.1853326557,1688407.1853326557,1688407.1853326557,112,27134,10000,-1416.4654840572175,3538,112,-22.24463414076763,-1416.4654840572175,3538,0.0,0.0,False,True
